pitch_type,release_speed,release_spin_rate,release_pos_z,release_pos_x,spin_axis,SeamLat,SeamLon,pfx_x,pfx_z
FF,95.7,2247,6.1,-2.62,207,-4.254314901267381,64.7045737491278,-0.61,1.18
FF,94.7,2254,6.23,-2.59,208,-3.4006085285241876,71.07677361876205,-0.53,1.0
FF,94.0,2177,6.3,-2.31,195,-4.7899668283114485,76.46514472301243,-0.33,1.18
FF,95.4,2303,6.34,-2.45,200,-4.623492181060692,67.06732750618959,-0.49,1.37
FF,95.6,2484,6.18,-2.6,207,-4.482591846088362,62.62209587107511,-0.64,1.27
FF,95.9,2406,6.14,-2.47,211,-6.4537993814421695,61.34949326088097,-0.72,1.19
FF,95.9,2288,5.99,-2.68,213,-4.101422746559844,61.28606156083466,-0.73,1.14
FF,96.2,2266,6.27,-2.59,211,-3.6960290861589837,62.696681343689924,-0.69,1.12
FF,95.2,2294,6.26,-2.61,208,-3.7801343052568672,66.2924709239004,-0.61,1.12
FF,95.2,2379,6.3,-2.61,209,-4.69917545918231,58.88654224938186,-0.73,1.3
FF,95.4,2392,5.96,-1.96,213,-3.755382052468012,59.798164037755804,-0.77,1.17
FF,94.3,2267,6.18,-1.96,202,-2.4844888872323145,74.48697064452547,-0.42,1.05
FF,95.2,2590,6.19,-2.66,209,-4.448444823077536,54.137756181687834,-0.79,1.4
FF,94.2,2343,6.09,-3.13,204,-3.9448555089703192,65.83731041839948,-0.58,1.3
FF,96.3,2302,6.09,-2.77,198,-3.3347386269681683,69.7342439001494,-0.43,1.33
FF,94.8,2267,6.22,-2.67,194,-2.3342515024663415,76.40017600244343,-0.31,1.25
FF,95.3,2355,6.35,-2.58,199,-3.212039294187454,71.63191994336461,-0.42,1.24
FF,93.8,2280,6.31,-2.73,189,-3.6793521339289796,81.6394073407695,-0.19,1.26
FF,95.9,2195,6.26,-2.68,203,-5.080851315028937,67.90981525638747,-0.52,1.24
FF,95.7,2258,6.22,-2.14,200,-3.523225292592089,68.08665154179393,-0.48,1.31
FF,95.6,2312,6.07,-2.72,201,-4.769947084097533,69.24517092267168,-0.48,1.23
FF,94.9,2367,6.08,-2.93,200,-4.491364963074909,71.45585133199073,-0.43,1.2
FF,95.8,2469,6.16,-2.84,197,-4.323126734097534,69.49210525308077,-0.43,1.36
FF,95.5,2495,6.16,-2.92,201,-3.746868187419671,63.451744197410996,-0.54,1.42
FF,95.6,2426,6.22,-2.86,205,-5.229518442913493,60.58416083104513,-0.64,1.35
FF,95.3,2381,6.17,-2.78,201,-5.043521253900725,69.58208209874223,-0.47,1.24
FF,94.6,2321,6.19,-2.85,206,-4.968469446951338,64.8057301917652,-0.6,1.25
FF,93.9,2257,6.03,-3.05,192,-4.117490909940891,82.3777267125907,-0.21,1.0
FF,95.1,2319,6.11,-2.02,198,-3.6830202602652298,74.34573236193559,-0.39,1.17
FF,95.1,2214,6.11,-2.72,200,-3.037898359522813,73.52596924357347,-0.41,1.14
FF,95.4,2425,6.16,-2.6,198,-4.9239525406513485,73.65363486739396,-0.39,1.19
FF,94.9,2461,6.21,-2.62,199,-4.20179627650055,67.23604345281382,-0.48,1.36
FF,94.5,2382,6.31,-2.67,209,-4.77966787116057,60.90139538204909,-0.72,1.29
FF,95.2,2368,6.2,-2.73,204,-4.437485029952691,64.83357968799972,-0.57,1.32
FF,93.5,2396,6.3,-1.76,208,-4.9659018350036375,65.25453564205345,-0.64,1.23
FF,96.2,2482,6.01,-2.08,199,-1.869802550784495,75.10766980294396,-0.37,1.08
FF,95.5,2367,6.11,-1.84,195,-2.3860575024299058,75.88714041701186,-0.32,1.21
FF,95.5,2354,6.1,-1.79,209,-3.050403282334994,67.83750326295022,-0.59,1.07
FF,95.4,2308,6.21,-2.55,197,-3.9510880703912328,77.00362842792089,-0.32,1.05
FF,96.0,2344,6.2,-2.8,192,-4.710482244367611,77.73754469150904,-0.27,1.25
FF,94.1,2252,6.2,-2.93,203,-3.9766482116379347,75.95092711681559,-0.41,0.97
FF,92.1,2105,6.31,-1.97,206,-3.4550070152132073,72.57452236862774,-0.51,1.05
FF,93.0,2189,6.2,-2.09,204,-3.370009396943317,70.27828419415893,-0.52,1.14
FF,94.9,2346,6.13,-2.94,206,-1.3535621219302971,66.56644230881469,-0.58,1.2
FF,95.2,2326,6.09,-3.07,214,-3.9809756620072743,60.00241174398538,-0.77,1.16
FF,93.8,2380,6.2,-2.86,212,-3.7093370336374165,60.694810360066235,-0.75,1.21
FF,94.2,2283,6.17,-2.83,204,-4.22532671696955,73.06357137241594,-0.46,1.05
FF,95.0,2327,6.13,-2.93,204,-3.9589613542921476,72.70268680396893,-0.46,1.04
FF,94.2,2287,6.14,-2.74,212,-4.998135894114567,64.83750016084001,-0.67,1.08
FF,93.3,2305,6.19,-2.97,207,-3.970145653912929,69.04374317460862,-0.57,1.13
FF,92.6,2234,6.3,-2.87,193,-3.8448526379418952,79.26658847266879,-0.27,1.15
FF,92.7,2387,6.15,-1.96,204,-4.054666119646683,65.92715511033936,-0.59,1.32
FF,94.3,2461,6.13,-2.89,205,-4.9407415785382165,59.35145554133645,-0.68,1.42
FF,92.9,2270,6.25,-2.97,208,-3.13622602949599,66.96877923314513,-0.63,1.16
FF,93.2,2264,6.33,-3.07,209,-3.6284351280580354,68.09058557032907,-0.61,1.09
FF,92.7,2342,6.16,-1.95,202,-2.9576963882440563,70.21691182542452,-0.51,1.26
FF,93.3,2319,6.07,-1.7,205,-4.050003352878613,64.61436828669544,-0.61,1.32
FF,94.0,2377,6.2,-2.97,204,-4.179005185594212,59.17172096028483,-0.66,1.5
FF,93.2,2456,6.21,-2.9,206,-5.178592000947603,59.650650866509025,-0.7,1.44
FF,94.7,2478,6.02,-1.98,212,-3.576380806544768,54.043544142996396,-0.83,1.36
FF,94.0,2500,6.16,-1.83,202,-2.7564401258455042,62.34440058718026,-0.6,1.46
FF,91.6,2517,6.27,-2.02,214,-4.987418507358408,52.67633584746029,-1.01,1.49
FF,95.6,2338,6.06,-2.12,205,-2.4389074578064758,59.75501596330637,-0.66,1.39
FF,94.6,2197,6.18,-1.96,204,-2.72776558852405,67.37926271066543,-0.55,1.25
FF,94.8,2270,6.14,-1.93,207,-2.0522654801782374,63.78766386345317,-0.62,1.23
FF,94.1,2263,6.21,-1.92,205,-3.4819056456823962,68.9635240461817,-0.54,1.15
FF,93.7,2336,6.23,-1.8,198,-3.0908349896970564,69.40310677240326,-0.46,1.4
FF,96.0,2322,6.04,-1.7,210,-3.9597341348169315,59.44633921193519,-0.73,1.25
FF,94.8,2286,6.32,-1.62,199,-2.4494461967437036,67.22860165316781,-0.49,1.39
FF,96.3,2296,6.07,-1.76,211,-2.9909844116245017,60.07165659360168,-0.73,1.2
FF,95.1,2303,6.25,-1.75,207,-2.641399583663957,59.958281113878584,-0.69,1.34
FF,95.4,2339,6.19,-1.74,208,-3.1496448215477186,59.47316558131883,-0.71,1.34
FF,94.8,2330,6.33,-2.49,202,-4.934946962781561,63.278137815185815,-0.57,1.4
