pitch_type,release_speed,release_spin_rate,release_pos_z,release_pos_x,spin_axis,SeamLat,SeamLon,pfx_x,pfx_z
FF,93.1,2265,6.06,-2.65,214,-4.65437937753206,70.61311620258044,-0.43,1.42
FF,92.7,2259,6.06,-2.66,214,-4.191089614586634,71.59923241815083,-0.4,1.45
FF,92.7,2314,6.21,-2.6,212,-4.517261096050113,68.65047719644855,-0.43,1.54
FF,94.4,2269,6.2,-2.65,213,-3.009770585503538,59.217537392543385,-0.58,1.59
FF,92.7,2162,6.28,-2.69,222,-4.348770787278889,65.16843715252713,-0.59,1.37
FF,91.3,2165,6.42,-2.56,216,-4.650723905666736,73.95705732297951,-0.37,1.44
FF,90.0,1988,6.18,-2.71,212,-3.0771685273021476,73.22093456880323,-0.46,1.27
FF,93.6,2219,6.1,-2.78,217,-3.583641936503259,74.28552331341257,-0.35,1.38
FF,92.1,2118,5.95,-2.86,216,-3.380493644978777,75.58200788050677,-0.33,1.39
FF,91.4,2163,6.16,-2.69,212,-3.2717222855183836,84.46375266304979,-0.13,1.33
FF,92.2,2144,6.27,-2.91,209,-2.4280295808311854,72.69907780813263,-0.44,1.25
FF,91.5,2133,6.13,-2.93,214,-3.9515722708443866,68.27000392467973,-0.58,1.26
FF,90.8,2043,6.3,-3.04,218,-3.736892972153812,75.1966387056762,-0.41,1.21
FF,93.4,2203,6.15,-2.78,215,-3.536239136513577,74.46100231758012,-0.37,1.25
FF,93.4,2192,6.21,-2.8,215,-4.707461030748952,69.96387358870881,-0.47,1.32
FF,93.2,2243,6.17,-2.8,213,-4.425446816515802,70.43433309567844,-0.47,1.31
FF,93.4,2234,6.19,-2.77,215,-5.3262376787702586,72.17105548051228,-0.42,1.32
FF,93.0,2192,6.11,-2.93,213,-3.5099225042287605,69.98945386521014,-0.52,1.23
FF,92.6,2163,6.18,-2.97,214,-3.989884006118057,73.7640290350568,-0.4,1.29
FF,92.9,2236,6.16,-2.47,212,-4.93148635162253,71.23810532614237,-0.49,1.2
FF,93.1,2368,6.23,-2.6,215,-5.019882403040905,65.83323910117666,-0.49,1.56
FF,93.2,2381,6.19,-2.56,217,-5.771228152771919,62.72063738188063,-0.59,1.51
FF,92.9,2292,6.03,-3.28,221,-3.4297425521784906,66.55274017570521,-0.58,1.31
FF,93.6,2261,6.06,-3.16,218,-4.662336234620107,63.99639024710007,-0.59,1.39
FF,92.3,2363,6.18,-3.03,219,-4.610857853916909,56.74024714924316,-0.67,1.66
FF,92.7,2380,6.21,-3.1,221,-5.331542336769193,53.31136677746155,-0.82,1.56
FF,93.1,2175,6.09,-2.62,212,-3.7127053558180485,76.78074579667927,-0.3,1.36
FF,94.2,2220,6.22,-2.63,217,-3.041845622025844,74.04814329948819,-0.35,1.29
FF,92.6,2190,6.06,-2.76,207,-2.6345844702483916,79.83138156255649,-0.25,1.26
FF,93.0,2325,6.19,-2.71,215,-4.214638949283374,73.06457569334337,-0.38,1.35
FF,93.4,2281,6.01,-2.75,219,-4.101359238226718,73.63488785246213,-0.39,1.32
FF,94.6,2198,5.96,-2.87,215,-2.815232547322042,78.47716868522234,-0.27,1.23
FF,94.3,2282,6.05,-2.79,216,-3.215082571448641,53.13620437103324,-0.79,1.56
FF,94.2,2315,6.13,-2.8,212,-2.999632112815559,74.46556015875771,-0.31,1.47
FF,91.1,2256,6.32,-2.43,200,-2.640617562019913,87.90313534390559,-0.05,1.35
FF,93.1,2339,6.14,-2.84,211,-4.112716669082971,68.26940159584808,-0.48,1.44
FF,92.5,2330,6.24,-2.73,208,-3.9276196278162505,66.40603414241028,-0.6,1.31
FF,94.5,2266,6.18,-2.71,215,-4.804680638437704,70.5174504724842,-0.39,1.47
FF,94.3,2189,6.19,-2.66,219,-5.8185769291894065,67.2554711515535,-0.54,1.3
FF,92.7,2220,6.38,-2.62,213,-4.3842874202617015,73.89862019323985,-0.37,1.4
FF,93.8,2205,6.28,-2.63,217,-5.0950007600718985,69.14226282964789,-0.44,1.48
FF,91.9,2242,6.38,-2.43,215,-4.890137480363521,70.67087499515631,-0.44,1.46
FF,92.8,2226,6.03,-3.05,211,-3.0420511688673852,72.2023553254966,-0.5,1.1
FF,91.8,2178,6.25,-2.97,209,-2.620326884227235,77.68696342987481,-0.27,1.47
FF,93.9,2324,6.07,-2.91,215,-4.362826905070408,70.24429485400913,-0.44,1.39
FF,92.9,2283,5.99,-3.1,219,-3.2176122813927956,65.73404172690796,-0.57,1.37
FF,93.3,2251,6.2,-2.83,219,-3.5176787455513945,57.012845179184616,-0.72,1.54
FF,93.3,2202,5.89,-2.96,208,-2.2958147449747934,75.03901886429614,-0.38,1.17
FF,93.8,2181,6.0,-2.9,213,-2.7222640822976962,71.01196012171023,-0.47,1.22
FF,92.9,2165,6.12,-2.74,212,-2.9236347920050627,73.3755375919703,-0.39,1.34
FF,94.0,2267,5.97,-2.93,219,-2.504086050470857,69.12181794713739,-0.5,1.28
FF,93.5,2246,6.08,-2.99,213,-3.3309737583343617,73.95615384601955,-0.37,1.33
FF,94.4,2233,5.89,-2.97,221,-2.5833412991708835,59.587742264434226,-0.64,1.48
FF,92.6,2240,6.2,-2.86,213,-2.7505485939286882,71.22493957747311,-0.37,1.57
FF,93.0,2107,6.09,-2.83,219,-4.038290075185028,73.59131893382079,-0.42,1.21
FF,92.5,2160,6.2,-2.71,217,-3.4818187246956818,73.87894216153771,-0.39,1.29
FF,94.7,2430,6.11,-2.48,215,-4.729133741313016,67.61028192322568,-0.46,1.44
FF,92.9,2367,6.05,-2.49,216,-3.639567540187629,66.12479814690884,-0.6,1.25
FF,93.3,2299,6.21,-2.38,215,-4.269856346046949,73.21750172019176,-0.4,1.26
FF,94.1,2378,6.16,-2.5,216,-4.526232341235959,64.49376191362512,-0.61,1.29
FF,93.7,2244,6.13,-2.58,217,-4.450333202014327,61.28160520776864,-0.7,1.3
FF,93.1,2266,6.17,-2.74,214,-3.9465095511280635,60.87055219001335,-0.71,1.34
FF,92.3,2282,6.23,-2.84,218,-3.730046089519346,71.0323932253017,-0.47,1.31
FF,92.1,2233,6.08,-2.81,216,-2.48768220906635,68.47988304521478,-0.58,1.22
FF,93.3,2300,6.14,-2.86,218,-2.467673765955983,78.93257023166201,-0.23,1.4
FF,92.8,2284,6.18,-2.6,215,-4.161399367553264,75.93797326929838,-0.31,1.42
FF,95.9,2268,6.1,-2.53,215,-5.081226735775452,74.12480142728951,-0.31,1.42
FF,93.1,2367,6.26,-2.52,215,-4.213610653353797,64.9992725314304,-0.56,1.41
FF,93.0,2221,6.26,-2.74,219,-2.836338423363532,81.31305693291984,-0.17,1.53
FF,93.6,2384,6.14,-2.66,212,-4.174690211218311,67.99354128813611,-0.46,1.46
FF,91.4,2325,6.3,-2.64,205,-4.092835335692027,79.25951788265532,-0.27,1.32
FF,92.3,2356,6.3,-2.68,210,-3.2470248744954966,79.10710957549716,-0.23,1.45
FF,92.8,2245,6.26,-2.93,215,-4.415242783265096,61.19867382711569,-0.71,1.36
FF,91.5,2125,6.26,-2.74,213,-3.698365864150254,68.99897318052015,-0.5,1.41
FF,91.9,2225,6.27,-2.73,216,-5.307906018131798,68.90033894391738,-0.58,1.2
FF,93.0,2262,6.02,-2.61,217,-4.645121890111367,65.51104608015338,-0.51,1.55
FF,92.2,2224,6.19,-2.58,213,-5.875014158158789,67.72801360484218,-0.42,1.71
FF,93.6,2343,6.07,-2.78,211,-5.026998936618475,67.97896324291877,-0.48,1.44
FF,93.2,2173,5.99,-2.83,220,-3.6926003377407484,65.20104736491547,-0.53,1.5
FF,91.6,2357,6.24,-2.65,205,-2.813411768267568,71.2511612463177,-0.41,1.52
FF,92.8,2273,5.99,-2.95,219,-4.068163712804569,58.02189896299589,-0.7,1.55
FF,92.3,2263,6.04,-2.77,216,-4.401624620006506,61.40533377437375,-0.66,1.5
FF,93.8,2203,6.09,-2.74,215,-4.3218457011847455,69.38232370656989,-0.41,1.5
FF,92.7,2473,6.08,-2.83,217,-5.580017167517219,61.086882270335664,-0.62,1.52
FF,92.6,2201,6.15,-2.81,217,-2.9133740932581302,69.96577183944925,-0.49,1.32
FF,94.1,2371,6.11,-2.91,218,-4.8605243981071045,61.406081927344594,-0.51,1.66
FF,93.3,2362,6.08,-3.0,217,-5.079846620008721,52.942159896035704,-0.85,1.5
FF,94.2,2325,6.08,-2.9,217,-3.8247332160865075,72.06475461840034,-0.39,1.36
FF,92.7,2164,6.2,-2.75,208,-3.777524196318389,72.47143373710247,-0.47,1.15
FF,91.8,2170,6.05,-2.96,216,-3.96063154353907,80.89661189927658,-0.23,1.27
FF,92.3,2197,6.17,-2.75,212,-2.8034721980384254,73.30268430879435,-0.38,1.4
