"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"FF","2023-10-01","91.3","-2.86","5.67","Duffey, Tyler",668930,608648,,"foul",,,,,12,"Brice Turang strikes out swinging.","R","L","R","MIL","CHC","S",,,3,1,2023,"-0.18","1.04","0.28","3.49",,,,2,6,"Bot",,,,,665804,,,8.354891474255915,-132.75421083193868,-1.8354519665948583,-3.9516273323587074,28.30514587205529,-19.707037057519738,"3.37","1.55",114,"71.7",79,"91.8",2205,"6.6",716364,608648,665804,676724,670156,621550,666624,643565,691718,672744,"53.86",,,,,,,,51,5,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",208,"0","-0.036",,
"FF","2023-10-01","91.3","-3.09","5.7","Duffey, Tyler",668930,608648,,"ball",,,,,11,"Brice Turang strikes out swinging.","R","L","R","MIL","CHC","B",,,2,1,2023,"-0.34","0.75","-1.75","4.45",,,,2,6,"Bot",,,,,665804,,,4.131929787256038,-132.95909451890117,1.0805055304003943,-4.8976315108695845,26.240336932334646,-23.657564556409348,"3.42","1.54",,,,"92.1",2207,"6.6",716364,608648,665804,676724,670156,621550,666624,643565,691718,672744,"53.94",,,,,,,,51,4,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",216,"0","0.045",,
"FF","2023-10-01","91.3","-2.93","5.76","Duffey, Tyler",668930,608648,,"foul",,,,,1,"Brice Turang strikes out swinging.","R","L","R","MIL","CHC","S",,,2,0,2023,"-0.09","0.99","-0.66","3.31",,,,2,6,"Bot",,,,,665804,,,5.927158197278508,-132.9657796024683,-2.5144430393977952,-2.1768128609618964,24.848736140422773,-19.989447135341774,"3.37","1.55",225,"71.7",31,"92.3",2263,"6.5",716364,608648,665804,676724,670156,621550,666624,643565,691718,672744,"53.95",,,,,,,,51,3,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",212,"0","-0.023",,
"FF","2023-10-01","92.5","-2.79","5.59","Duffey, Tyler",621438,608648,,"ball",,,,,14,"Tyrone Taylor homers (10) on a fly ball to left center field.","R","R","R","MIL","CHC","B",,,0,0,2023,"-0.21","1.16","1.15","1.89",,,,2,6,"Bot",,,,,665804,,,10.572626346799133,-134.23618313369568,-6.175608089349497,-4.856770403359983,28.946366719702358,-16.957665186374786,"3.26","1.57",,,,"93",2162,"6.8",716364,608648,665804,676724,670156,621550,666624,643565,691718,672744,"53.74",,,,,,,,50,1,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",216,"0","0.016",,
"FF","2023-10-01","92.8","-3","5.6","Duffey, Tyler",669003,608648,"field_out","hit_into_play",,,,,2,"Garrett Mitchell flies out to right fielder Alexander Canario.","R","L","R","MIL","CHC","X",9,"fly_ball",3,2,2023,"-0.23","1.09","0.23","3.37",,,,1,6,"Bot",160.92,68.2,,,665804,,,8.819917714129923,-134.95519808587792,-2.324558896278296,-4.724346560563339,28.986721577755638,-18.523126854706135,"3.32","1.59",335,"88.6",31,"93.3",2199,"6.6",716364,608648,665804,676724,670156,621550,666624,643565,691718,672744,"53.93",0.069,0.1,"0",1,0,0,3,49,6,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",230,"-0.006","-0.207",,
"FF","2023-10-01","91.4","-3.1","5.58","Duffey, Tyler",669003,608648,,"called_strike",,,,,11,"Garrett Mitchell flies out to right fielder Alexander Canario.","R","L","R","MIL","CHC","S",,,3,0,2023,"-0.27","1.18","-0.36","3.5",,,,1,6,"Bot",,,,,665804,,,7.516258703542978,-133.01865756032385,-1.9499853199921169,-4.761563091189002,27.733692746911615,-17.90330600578322,"3.22","1.63",,,,"91.9",2370,"6.5",716364,608648,665804,676724,670156,621550,666624,643565,691718,672744,"53.96",,,,,,,,49,4,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",223,"0","-0.052",,
"FF","2023-10-01","92.2","-2.97","5.63","Duffey, Tyler",669003,608648,,"ball",,,,,14,"Garrett Mitchell flies out to right fielder Alexander Canario.","R","L","R","MIL","CHC","B",,,2,0,2023,"-0.36","1.21","1.65","2.4",,,,1,6,"Bot",,,,,665804,,,12.538972607878723,-133.6559937107312,-4.976760985876883,-7.110767764855204,29.252544624790104,-16.749992789139082,"3.2","1.67",,,,"92.2",2453,"6.5",716364,608648,665804,676724,670156,621550,666624,643565,691718,672744,"53.98",,,,,,,,49,3,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",232,"0","0.09",,
"FF","2023-10-01","92.3","-3","5.65","Duffey, Tyler",518626,608648,"field_out","hit_into_play",,,,,3,"Josh Donaldson pops out to first baseman Jared Young in foul territory.","R","R","R","MIL","CHC","X",3,"popup",2,0,2023,"-0.45","1.28","0.62","3.17",,,,0,6,"Bot",158.88,197.69,,,665804,,,10.242660872747042,-134.12192255220467,-3.2991535114496338,-7.642713877983262,28.003509389741804,-16.1134465208962,"3.22","1.54",86,"90.2",75,"92.7",2456,"6.5",716364,608648,665804,676724,670156,621550,666624,643565,691718,672744,"53.98",0.003,0.003,"0",1,0,0,3,48,3,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",230,"-0.007","-0.339",,
"FF","2023-10-01","93.9","-2.86","5.74","Duffey, Tyler",592192,608648,,"foul",,,,,3,"Mark Canha pops out to third baseman Patrick Wisdom.","R","R","R","MIL","CHC","S",,,0,2,2023,"-0.35","1.02","0.53","3.22",,,,1,5,"Bot",,,,,665804,,,9.556534093412749,-136.54718361956566,-3.0981701658228618,-6.347863661198007,28.506886477040933,-18.869442654046587,"3.22","1.5",153,"79.7",13,"94.2",2396,"6.4",716364,608648,665804,676724,670156,621550,666624,643565,691718,672744,"54.09",,,,,,,,42,4,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",225,"0","0",,
"FF","2023-10-01","94.2","-3.09","5.58","Duffey, Tyler",467793,608648,"strikeout","called_strike",,,,,8,"Carlos Santana called out on strikes.","R","L","R","MIL","CHC","S",2,,2,2,2023,"-0.67","1.1","0.21","1.87",,,,0,5,"Bot",,,,,665804,,,10.044171353666528,-136.74252981731559,-6.358064556018158,-10.577613930023059,30.155526540330403,-17.12643797545292,"3.34","1.57",,,,"94.3",2283,"6.5",716364,608648,665804,676724,670156,621550,666624,643565,691718,672744,"54.04",,0,"0",1,0,0,,41,5,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",230,"-0.009","-0.214",,
