,release_speed,pitch_type,release_spin_rate,release_extension,vy0,vx0,vz0,ax,az,ay,yR,tR,vxR,vyR,vzR,tf,vxbar,vybar,vzbar,vbar,adrag,amagx,amagy,amagz,amag,Cl,s,spinT,spin_efficiency
0,90.0,FF,2526.0,6.3,-130.9493956711726,-3.8567771529599,-6.887477514330493,-2.8730577255745544,-12.588795081012888,27.050114957587805,54.2,-0.03196790703419969,-3.7649315106848436,-131.81413123140118,-6.485040083508083,0.418399816693807,-4.365974923550404,-126.1552496615006,-9.118614860653928,126.55970089710847,28.27566929377911,-3.8484935255027466,-1.135192796914236,17.547945535553463,18.000832136897262,0.20877443769157147,0.16121082823869787,1610.1885185216527,0.6374459693276535
1,90.4,FF,2454.0,6.3,-131.6361924753972,-1.5893226319408948,-5.907190100367725,-1.9290072423726443,-13.788573502797568,28.00769509836509,54.2,-0.031798549942436145,-1.5279829988049873,-132.52679656675508,-5.468733457204064,0.4166257779881916,-1.9298200703541668,-126.69243268674887,-8.341071038679265,126.9813772632138,29.122337599887558,-2.3715986900886086,-1.048374977222224,16.472457115640736,16.675293516646683,0.19211843527844413,0.1407880305577174,1410.888987127365,0.5749343875824633
2,90.2,FF,2498.0,6.5,-131.03224715289647,-2.049258464876506,-10.061238335512098,-4.190430189647136,-11.207077014260346,28.299465880938182,54.0,-0.030426863224057323,-1.9217568186461522,-131.89331113056966,-9.72024213605772,0.4173689443856585,-2.796234531033562,-125.98765202986709,-12.05898508760303,126.59433839194567,30.068529875919765,-4.854588339248956,-1.6249646044780839,18.102687839162733,18.81262461517661,0.21807026086331005,0.1738056758844126,1736.4621240770325,0.6951409624007336
3,90.5,FF,2412.0,6.2,-131.61138596972387,-2.4632197647952903,-7.547581990316972,-1.3894700872512702,-12.964300461562598,27.527655012115844,54.3,-0.03256106787412575,-2.417977134975234,-132.5077158129889,-7.125450523047472,0.417173466768738,-2.707802161610271,-126.7658121762798,-9.829631606938282,127.17517441225071,28.894219501085185,-2.0046831615377507,-1.273557324982633,16.9764057011905,17.14173425793269,0.19689092280721857,0.14638756588977817,1469.2429245436676,0.6091388576051691
4,90.1,FF,2452.0,6.3,-130.9826238777328,-5.580918201443447,-5.788555911407415,-5.24901224897599,-12.638718417801485,29.685625123104263,54.2,-0.0319496482021868,-5.413214106679695,-131.93106915707799,-5.3847533042321585,0.41992095062400325,-6.515299213393213,-125.69826119629712,-8.038384630568308,126.12342216686612,30.559467988803092,-6.827656994959344,-0.77082716213663,17.587596104123428,18.882124119825143,0.22051339516268545,0.17728079761881443,1764.59286866195,0.719654514136195
5,89.7,FF,2534.0,6.1,-130.27777152358286,-5.467797756313243,-9.126104114016432,1.0563351462397546,-8.388145237790123,25.69492155123049,54.4,-0.03366224254956989,-5.5033563662196014,-131.14272020513255,-8.843740334480922,0.4214101144257133,-5.280781208795203,-125.72867028960067,-10.611164956719241,126.28611168574709,27.624274566483205,-0.09880177333132933,-1.8074162957170685,21.46473068671314,21.54091871089907,0.2509161751409833,0.22799671962556614,2272.3292911549493,0.8967361054281567
6,89.6,FF,2468.0,6.3,-130.44784118193397,-2.4051715328492183,-7.076470360131843,0.0297055599533367,-13.445555381148049,25.996195116072293,54.2,-0.03209414184563007,-2.4061249073039646,-131.28216675543587,-6.644946798536003,0.41948232915826683,-2.3998944285648767,-125.82969451716448,-9.465033242591229,126.20799645757216,27.323387011618905,-0.48985933370813695,-1.2452914564688058,16.679313235547735,16.73290778639185,0.1951521287915343,0.14432550942122704,1437.5304344894087,0.5824677611383341
7,90.4,FF,2276.0,6.5,-131.59389029902405,-2.541155170454568,-5.81556877527809,-0.4593915271745604,-14.956446437511048,26.28117573320281,54.0,-0.030304840851280265,-2.5272333833351164,-132.3903371470033,-5.36231604628862,0.4142137977778722,-2.622376537904092,-126.94732434174449,-8.45989928636001,127.25592289622506,27.35258942923534,-1.0230492897184993,-1.0050830344251658,15.399169423456076,15.465808762802782,0.17741578046938322,0.12463700880694208,1251.734145230815,0.5499710655671419
8,90.7,FF,2305.0,6.3,-132.0267456121151,-1.984837160598448,-2.4513365877978086,-1.2859101633244052,-13.25556321574654,29.069056394582265,54.2,-0.031701102399279035,-1.9440723908346276,-132.94826674553016,-2.031120620935311,0.4159349780763595,-2.2114998986298797,-126.90284807843965,-4.787846818700978,127.01238939324195,29.734743615512688,-1.8036421956531399,-0.6400426131365471,17.797558747831005,17.90016416402562,0.206129648074072,0.15779536700207855,1581.7120039234348,0.6862091123312082
9,90.8,FF,2399.0,6.1,-132.12256321763795,-2.3095363815457004,-5.101324656645015,-1.128812811707911,-15.785302780472326,28.60179884043943,54.4,-0.03318322619462681,-2.272078730683404,-133.07166317813346,-4.57751738392993,0.4168284638979132,-2.5073393858496504,-127.11064124044472,-7.867399139003799,127.37856113398863,29.53165009340793,-1.7101183999414276,-0.867736274758947,14.564706773648439,14.690410293341419,0.16819646661014037,0.11525667329420966,1158.6426088828,0.48296899078065864
10,90.4,FF,2358.0,6.3,-131.65520012916411,-1.7065908666931828,-4.552458454401494,-1.4393845738051485,-14.399279261301508,27.3295795156017,54.2,-0.031796576127335885,-1.6608233655156746,-132.52418718476002,-4.094610675190752,0.41614894648775397,-1.9603225525055432,-126.83759932307456,-7.090733122577545,127.05076923327258,28.253527475476496,-1.8753207545323949,-0.8765432731415217,16.197884767464164,16.329624214357082,0.18793047572958127,0.13602525349425523,1363.9043651887582,0.5784157613183877
11,90.4,FF,2323.0,6.2,-131.69909776400254,-1.8344449653367785,-2.8007124539707093,-1.3216848430232808,-12.255124988731293,27.784360558518568,54.3,-0.03253850381750451,-1.7914393180265276,-132.60315928610282,-2.4019490227408813,0.41702903110279865,-2.0670297927811543,-126.80971680433791,-4.957320472788036,126.9234096391621,28.515930900738134,-1.7860852157227514,-0.7060269296137065,18.80511192803035,18.902931229016108,0.21798234172562708,0.17368196544987521,1739.7367279907971,0.7489180921182941
12,91.2,FF,2475.0,6.1,-132.6528322659689,-2.4655542844879115,-8.269576843939982,1.113214175109565,-10.236010937226554,28.582803339326453,54.4,-0.03305159703445571,-2.502347790816677,-133.5975395640554,-7.931260335202488,0.4150138913227327,-2.2713481174727534,-127.66640934467227,-10.05530370054271,128.08192780303676,30.232098917324848,0.5770915375059812,-1.5512177667823792,19.564563386467047,19.634445541082368,0.22234048595975534,0.1799280473435434,1818.7533199046036,0.7348498262240822
